"Accepted Symbol" "Synonym Symbol" "Scientific Name" "Common Name" "State and Province" "Duration" "Growth Habit" "Native Status" "Active Growth Period" "Flower Color" "Flower Conspicuous" "Height  Mature (feet)" "Lifespan" "Drought Tolerance" "Shade Tolerance" "Bloom Period" 
"ARLO6" "" "Arnica longifolia" "spearleaf arnica" "USA (CA  CO  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "Yellow" "Yes" "2.0" "Moderate" "None" "Tolerant" "Early Summer" 
"ARMO4" "" "Arnica mollis" "hairy arnica" "USA (AK  CA  CO  ID  MT  NH  NV  OR  UT  VT  WA  WY)  CAN (AB  BC  NT  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.0" "Moderate" "Medium" "Intermediate" "Summer" 
"ARTRT" "" "Artemisia tridentata ssp. tridentata" "basin big sagebrush" "USA (AZ  CA  CO  ID  MA  MT  NM  NV  OR  UT  WA  WY)  CAN (AB  BC)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "Green" "Yes" "9.0" "Moderate" "High" "Intolerant" "Late Summer" 
"ASIN" "" "Asclepias incarnata" "swamp milkweed" "USA (AL  AR  CO  CT  DC  DE  FL  GA  IA  ID  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MT  NC  ND  NE  NH  NJ  NM  NV  NY  OH  OK  PA  RI  SC  SD  TN  TX  UT  VA  VT  WI  WV  WY)  CAN (MB  NB  NS  ON  PE  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "Red" "Yes" "4.9" "Moderate" "None" "Intolerant" "Fall" 
"ASSP" "" "Asclepias speciosa" "showy milkweed" "USA (AZ  CA  CO  IA  ID  IL  KS  MI  MN  MT  ND  NE  NM  NV  OK  OR  SD  TX  UT  WA  WI  WY)  CAN (AB  BC  MB  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "6.0" "Long" "Low" "Intolerant" "Early Summer" 
"ASTU" "" "Asclepias tuberosa" "butterfly milkweed" "USA (AL  AR  AZ  CA  CO  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  NE  NH  NJ  NM  NY  OH  OK  PA  RI  SC  SD  TN  TX  UT  VA  VT  WI  WV)  CAN (ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Orange" "Yes" "2.0" "Moderate" "High" "Intolerant" "Mid Summer" 
"ASAL3" "" "Aster alpinus" "alpine aster" "USA (AK  CO)  CAN (AB  BC  NT  ON  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "White" "Yes" "0.3" "Long" "Medium" "Intermediate" "Early Summer" 
"ASAG2" "" "Astragalus agrestis" "purple milkvetch" "USA (CA  CO  IA  ID  IL  MN  MT  ND  NE  NM  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  MB  NT  ON  QC  SK  YT)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "1.0" "Short" "Low" "Intolerant" "Summer" 
"ASCA11" "" "Astragalus canadensis" "Canadian milkvetch" "USA (AL  AR  CA  CO  CT  DC  GA  IA  ID  IL  IN  KS  KY  LA  MD  MI  MN  MO  MS  MT  NC  ND  NE  NJ  NM  NV  NY  OH  OK  OR  PA  SC  SD  TN  TX  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  MB  NT  ON  QC  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring  Summer  Fall" "White" "Yes" "0.5" "Short" "Medium" "Intolerant" "Mid Summer" 
"ASCU4" "" "Astragalus curvicarpus" "curvepod milkvetch" "USA (CA  ID  NV  OR)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "0.4" "Short" "High" "Intolerant" "Late Summer" 
"ASFI" "" "Astragalus filipes" "basalt milkvetch" "USA (CA  ID  NV  OR  UT  WA)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "2.0" "Moderate" "High" "Intolerant" "Late Spring" 
"ASLE8" "" "Astragalus lentiginosus" "freckled milkvetch" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  TX  UT  WA  WY)  CAN (BC)" "Annual  Biennial  Perennial" "Forb/herb  Shrub  Subshrub" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "1.4" "Moderate" "High" "Intolerant" "Late Spring" 
"ASMOM5" "" "Astragalus mollissimus var. mollissimus" "woolly locoweed" "USA (CO  KS  NE  NM  OK  SD  TX  WY)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Purple" "Yes" "2.0" "Moderate" "High" "Intolerant" "Late Spring" 
"ASPU9" "" "Astragalus purshii" "woollypod milkvetch" "USA (CA  CO  ID  MT  ND  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "0.6" "Moderate" "High" "Intolerant" "Mid Spring" 
"AVGE" "" "Avicennia germinans" "black mangrove" "USA (FL  LA  MS  TX)  USA+ (PR  VI)" "Perennial" "Tree  Shrub" "L48 (N)  PR (N)  VI (N)" "Year Round" "White" "Yes" "30" "Long" "Low" "Intolerant" "Indeterminate" 
"BAAN" "" "Baccharis angustifolia" "saltwater false willow" "USA (AL  FL  GA  LA  MS  NC  SC)" "Perennial" "Shrub" "L48 (N)" "Spring" "White" "Yes" "13" "Long" "None" "Intolerant" "Fall" 
"BAHA" "" "Baccharis halimifolia" "eastern baccharis" "USA (AL  AR  CT  DC  DE  FL  GA  LA  MA  MD  MS  NC  NJ  NY  OK  PA  RI  SC  TX  VA)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring  Summer  Fall" "White" "Yes" "10" "Moderate" "Low" "Intermediate" "Late Summer" 
"BAPI" "" "Baccharis pilularis" "coyotebrush" "USA (CA  NM  OR)" "Perennial" "Subshrub  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "10" "Long" "High" "Intolerant" "Late Summer" 
"BASA4" "" "Baccharis salicifolia" "mule-fat" "USA (AZ  CA  CO  NM  NV  TX  UT)" "Perennial" "Shrub" "L48 (N)" "Summer" "Yellow" "Yes" "10" "Short" "Low" "Intolerant" "Mid Spring" 
"BASA2" "" "Baccharis sarothroides" "desertbroom" "USA (AZ  CA  NM  NV  TX)" "Perennial" "Shrub" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "12" "Short" "High" "Intolerant" "Late Winter" 
"BARO" "" "Bacopa rotundifolia" "disk waterhyssop" "USA (AL  AR  AZ  CA  CO  IA  ID  IL  IN  KS  KY  LA  MD  MN  MO  MS  MT  NC  ND  NE  NM  OK  SD  TN  TX  VA  WI  WY)  CAN (AB)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring  Summer  Fall" "White" "Yes" "0.1" "Moderate" "None" "Intolerant" "Fall" 
"BACA3" "" "Balsamorhiza careyana" "Carey's balsamroot" "USA (OR  WA)" "Perennial" "Forb/herb" "L48 (N)" "Spring" "Yellow" "Yes" "2.5" "Moderate" "High" "Intermediate" "Early Spring" 
"BAHO" "" "Balsamorhiza hookeri" "Hooker's balsamroot" "USA (AZ  CA  CO  ID  MT  NV  OR  UT  WA  WY)" "Perennial" "Forb/herb" "L48 (N)" "Spring" "Yellow" "Yes" "1.0" "Moderate" "Medium" "Intermediate" "Mid Spring" 
"BAHOH" "" "Balsamorhiza hookeri var. hirsuta" "hairy balsamroot" "USA (CA  NV  OR  WA)" "Perennial" "Forb/herb" "L48 (N)" "Spring" "Yellow" "Yes" "1.1" "Moderate" "Medium" "Intermediate" "Mid Spring" 
"BAMA4" "" "Balsamorhiza macrophylla" "cutleaf balsamroot" "USA (ID  MT  UT  WY)" "Perennial" "Forb/herb" "L48 (N)" "Spring" "Yellow" "Yes" "2.0" "Moderate" "Low" "Intermediate" "Mid Spring" 
"BASA3" "" "Balsamorhiza sagittata" "arrowleaf balsamroot" "USA (AZ  CA  CO  ID  MT  ND  NV  OR  SD  UT  WA  WY)  CAN (AB  BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "Yellow" "Yes" "2.0" "Long" "High" "Intermediate" "Late Spring" 
"BASE2" "" "Balsamorhiza serrata" "serrate balsamroot" "USA (CA  NV  OR  WA)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "1.0" "Short" "High" "Intolerant" "Summer" 
"BATI" "" "Baptisia tinctoria" "horseflyweed" "USA (CT  DC  DE  GA  IA  IL  IN  KY  MA  MD  ME  MI  MN  NC  NH  NJ  NY  OH  PA  RI  SC  TN  VA  VT  WI  WV)  CAN (ON)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "Yellow" "Yes" "2.5" "Moderate" "High" "Intolerant" "Mid Summer" 
"BEFE" "" "Berberis fendleri" "Colorado barberry" "USA (CO  NM  UT)" "Perennial" "Shrub" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "6.0" "Moderate" "High" "Intolerant" "Mid Spring" 
"BELY" "" "Berlandiera lyrata" "lyreleaf greeneyes" "USA (AZ  CO  KS  NM  OK  TX)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "4.0" "Moderate" "Medium" "Intolerant" "Mid Spring" 
"BEER" "" "Berula erecta" "cutleaf waterparsnip" "USA (AR  AZ  CA  CO  IA  ID  IL  KS  MI  MN  MO  MT  ND  NE  NM  NV  NY  OK  OR  SD  TX  UT  WA  WI  WY)  CAN (BC  ON)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "White" "Yes" "2.8" "Moderate" "None" "Intolerant" "Mid Summer" 
"BEPA" "" "Betula papyrifera" "paper birch" "USA (AK  CO  CT  IA  ID  IL  IN  MA  MD  ME  MI  MN  MT  NC  ND  NE  NH  NJ  NY  OH  OR  PA  RI  SD  TN  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  ON  PE  QC  SK  YT)  FRA (SPM)" "Perennial" "Tree" "L48 (N)  AK (N)  CAN (N)  SPM (N)" "Spring and Summer" "Yellow" "Yes" "70" "Moderate" "Low" "Intolerant" "Mid Spring" 
"BEPU4" "" "Betula pumila" "bog birch" "USA (CA  CT  IA  ID  IL  IN  KS  MA  ME  MI  MN  MT  ND  NH  NJ  NY  OH  OR  VT  WA  WI)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  ON  PE  QC  SK  YT)  FRA (SPM)" "Perennial" "Shrub" "L48 (N)  CAN (N)  SPM (N)" "Spring and Summer" "Yellow" "Yes" "20" "Short" "Low" "Intolerant" "Mid Spring" 
"BIAR" "" "Bidens aristosa" "bearded beggarticks" "USA (AL  AR  CO  CT  DC  DE  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  NE  NH  NJ  NY  OH  OK  PA  SC  TN  TX  VA  WI  WV)  CAN (ON)" "Annual  Biennial" "Forb/herb" "L48 (N)  CAN (I)" "Spring  Summer  Fall" "Yellow" "Yes" "3.5" "" "Low" "Intermediate" "Late Summer" 
"BICE" "" "Bidens cernua" "nodding beggartick" "USA (AK  AL  AR  AZ  CA  CO  CT  DC  DE  GA  IA  ID  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MT  NC  ND  NE  NH  NJ  NM  NV  NY  OH  OK  OR  PA  RI  SD  TN  TX  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  MB  NB  NS  NT  ON  PE  QC  SK  YT)" "Annual" "Forb/herb" "L48 (N)  AK (I)  CAN (N)" "Spring  Summer  Fall" "Yellow" "Yes" "3.2" "" "Low" "Intermediate" "Late Summer" 
"BICO5" "" "Bidens connata" "purplestem beggarticks" "USA (AL  CT  DC  DE  GA  IA  IL  IN  KS  KY  MA  MD  ME  MI  MN  MO  NC  ND  NE  NH  NJ  NY  OH  PA  RI  SC  SD  TN  VA  VT  WI  WV)  CAN (NB  NS  ON  PE  QC)" "Annual" "Forb/herb" "L48 (N)  CAN (N)" "Spring  Summer  Fall" "Yellow" "Yes" "3.2" "" "Low" "Intermediate" "Late Summer" 
"BICO" "" "Bidens coronata" "crowned beggarticks" "USA (AL  CT  DE  GA  IA  IL  IN  KY  MA  MD  MI  MN  MO  MS  NC  NE  NJ  NY  OH  PA  RI  SC  SD  TN  VA  WI  WV)  CAN (ON  QC)" "Annual" "Forb/herb" "L48 (N)  CAN (N)" "Spring  Summer  Fall" "Yellow" "Yes" "3.4" "" "Low" "Intermediate" "Late Summer" 
"BIDI" "" "Bidens discoidea" "small beggarticks" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WI  WV)  CAN (NB  NS  ON  QC)" "Annual" "Forb/herb" "L48 (N)  CAN (N)" "Spring  Summer  Fall" "Yellow" "Yes" "5.2" "" "Low" "Intermediate" "Late Summer" 
"BILA" "" "Bidens laevis" "smooth beggartick" "USA (AL  AR  AZ  CA  CT  DC  DE  FL  GA  IN  KY  LA  MA  MD  ME  MO  MS  NC  NH  NJ  NM  NV  NY  OH  PA  RI  SC  TN  TX  VA  WV)" "Annual  Perennial" "Forb/herb" "L48 (N)" "Spring  Summer  Fall" "Yellow" "Yes" "3.3" "Short" "Low" "Intermediate" "Late Summer" 
"BIMI" "" "Bidens mitis" "smallfruit beggarticks" "USA (AL  DE  FL  GA  LA  MD  MS  NC  NJ  SC  TX  VA)" "Annual" "Forb/herb" "L48 (N)" "Spring  Summer  Fall" "Yellow" "Yes" "3.5" "" "Low" "Intermediate" "Fall" 
"BITR" "" "Bidens tripartita" "threelobe beggarticks" "USA (AK  AL  CA  CO  CT  DC  DE  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NY  OH  OK  OR  PA  RI  SC  SD  TN  TX  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  NB  NS  ON  PE  QC)" "Annual" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring  Summer  Fall" "Yellow" "Yes" "3.5" "" "Low" "Intermediate" "Late Summer" 
"BOAS" "" "Boltonia asteroides" "white doll's daisy" "USA (AL  AR  CT  DE  FL  GA  IA  ID  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  ND  NE  NJ  NY  OH  OK  OR  PA  RI  SC  SD  TN  TX  VA  VT  WI)  CAN (MB  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "White" "Yes" "8.0" "Moderate" "Low" "Intermediate" "Mid Summer" 
"BUSI" "" "Bursera simaruba" "gumbo limbo" "USA (FL)  USA+ (PR  VI)" "Perennial" "Tree  Shrub" "L48 (N)  PR (N)  VI (N)" "Spring" "Green" "Yes" "40" "" "High" "Tolerant" "Spring" 
"CAER" "" "Calliandra eriophylla" "fairyduster" "USA (AZ  CA  NM  TX)" "Perennial" "Subshrub  Shrub" "L48 (N)" "Spring and Summer" "Purple" "Yes" "3.0" "Moderate" "High" "Intolerant" "Early Spring" 
"CAAM2" "" "Callicarpa americana" "American beautyberry" "USA (AL  AR  FL  GA  LA  MD  MO  MS  NC  OK  SC  TN  TX  VA)" "Perennial" "Shrub" "L48 (N)" "Spring and Summer" "Blue" "Yes" "6.0" "Moderate" "High" "Intermediate" "Early Summer" 
"CAIN2" "" "Callirhoe involucrata" "purple poppymallow" "USA (AR  AZ  CO  FL  IA  IL  IN  KS  KY  LA  MI  MN  MO  ND  NE  NM  OK  OR  PA  TX  VA  WY)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Red" "Yes" "1.0" "Moderate" "Medium" "Intolerant" "Mid Spring" 
"CAMA5" "" "Calochortus macrocarpus" "sagebrush mariposa lily" "USA (CA  ID  MT  NV  OR  WA)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "Purple" "Yes" "1.8" "Moderate" "High" "Intolerant" "Mid Summer" 
"CAAN22" "" "Calophyllum antillanum" "Antilles calophyllum" "USA (FL)  USA+ (PR  VI)" "Perennial" "Tree  Shrub" "L48 (N)  PR (N)  VI (N)" "Spring  Summer  Fall" "Orange" "Yes" "65" "Moderate" "Medium" "Intermediate" "Late Spring" 
"CALE4" "" "Caltha leptosepala" "white marsh marigold" "USA (AK  AZ  CA  CO  ID  MT  NM  NV  OR  UT  WA  WY)  CAN (AB  BC  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "White" "Yes" "1.0" "Moderate" "None" "Intolerant" "Late Spring" 
"CAPA5" "" "Caltha palustris" "yellow marsh marigold" "USA (AK  CA  CT  DE  IA  IL  IN  KY  MA  MD  ME  MI  MN  MO  NC  ND  NE  NH  NJ  NY  OH  OR  PA  RI  SD  TN  VA  VT  WA  WI  WV)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  NU  ON  PE  QC  SK  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring" "Yellow" "Yes" "2.0" "Moderate" "None" "Intolerant" "Mid Spring" 
"CALY2" "" "Calycocarpum lyonii" "cupseed" "USA (AL  AR  FL  GA  IL  IN  KS  KY  LA  MO  MS  OK  SC  TN  TX)" "Perennial" "Vine" "L48 (N)" "Spring and Summer" "White" "Yes" "30" "Long" "Low" "Tolerant" "Late Spring" 
"CAQU2" "" "Camassia quamash" "small camas" "USA (CA  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Blue" "Yes" "2.3" "Moderate" "None" "Tolerant" "Mid Spring" 
"CASC5" "" "Camassia scilloides" "Atlantic camas" "USA (AL  AR  DC  GA  IA  IL  IN  KS  KY  LA  MD  MI  MO  MS  NC  OH  OK  PA  SC  TN  TX  VA  WI  WV)  CAN (ON)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Blue" "Yes" "2.5" "Moderate" "Low" "Tolerant" "Mid Spring" 
"CAAP2" "" "Campanula aparinoides" "marsh bellflower" "USA (AL  CO  CT  DC  DE  GA  IA  IL  IN  KY  MA  MD  ME  MI  MN  MO  NC  ND  NE  NH  NJ  NY  OH  PA  RI  SC  SD  TN  VA  VT  WA  WI  WV  WY)  CAN (MB  NB  NS  ON  QC  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "2.0" "Short" "Low" "Intolerant" "Late Spring" 
"CAAM18" "" "Campanulastrum americanum" "American bellflower" "USA (AL  AR  FL  GA  IA  IL  IN  KS  KY  LA  MD  MI  MN  MO  MS  NC  NE  NJ  NY  OH  OK  PA  SC  SD  TN  VA  WI  WV)  CAN (ON)" "Annual" "Forb/herb" "L48 (N)  CAN (N)" "Spring  Summer  Fall" "Blue" "Yes" "6.0" "" "Low" "Tolerant" "Summer" 
"CARA2" "" "Campsis radicans" "trumpet creeper" "USA (AL  AR  CA  CO  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  MI  MO  MS  NC  ND  NE  NH  NJ  NY  OH  OK  PA  RI  SC  SD  TN  TX  UT  VA  WA  WI  WV)  CAN (ON)" "Perennial" "Vine" "L48 (N)  CAN (N)" "Spring and Summer" "Red" "Yes" "2.0" "Long" "High" "Intolerant" "Summer" 
"CAMO32" "" "Canadanthus modestus" "giant mountain aster" "USA (AK  ID  MI  MN  MT  OR  WA)  CAN (AB  BC  MB  NB  ON  QC  SK  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "3.0" "Short" "Medium" "Intolerant" "Summer" 
"CACY" "" "Capparis cynophallophora" "Jamaican caper" "USA (FL)  USA+ (PR  VI)" "Perennial" "Tree  Shrub" "L48 (N)  PR (N)  VI (N)" "Spring" "Purple" "Yes" "20" "Short" "Medium" "Intermediate" "Spring" 
"CAFL2" "" "Capparis flexuosa" "falseteeth" "USA (FL)  USA+ (PR  VI)" "Perennial" "Tree  Shrub  Vine" "L48 (N)  PR (N)  VI (N)" "Spring" "White" "Yes" "16" "Short" "Medium" "Intermediate" "Summer" 
"CABRB" "" "Cardamine breweri var. breweri" "Brewer's bittercress" "USA (CA  CO  ID  MT  NV  OR  UT  WA  WY)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "1.8" "Moderate" "None" "Tolerant" "Late Spring" 
"CABU3" "" "Cardamine bulbosa" "bulbous bittercress" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  MI  MN  MO  MS  NC  ND  NE  NH  NJ  NY  OH  OK  PA  RI  SC  SD  TN  TX  VA  VT  WI  WV)  CAN (MB  ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "White" "Yes" "1.4" "Moderate" "None" "Tolerant" "Mid Spring" 
"CACO6" "" "Cardamine cordifolia" "heartleaf bittercress" "USA (AZ  CA  CO  ID  NM  NV  OR  UT  WA  WY)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "1.5" "Moderate" "None" "Tolerant" "Late Spring" 
"CADO" "" "Cardamine douglassii" "limestone bittercress" "USA (AL  AR  CT  DC  IA  IL  IN  KY  MA  MD  MI  MN  MO  NC  NH  NJ  NY  OH  PA  TN  VA  WI  WV)  CAN (ON)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "1.0" "Moderate" "None" "Tolerant" "Early Spring" 
"CAPE3" "" "Cardamine pensylvanica" "Pennsylvania bittercress" "USA (AK  AL  AR  CA  CO  CT  DC  DE  FL  GA  IA  ID  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NV  NY  OH  OK  OR  PA  RI  SC  SD  TN  TX  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  ON  PE  QC  SK  YT)  FRA (SPM)" "Annual  Biennial  Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)  SPM (N)" "Spring" "White" "Yes" "1.5" "Short" "None" "Tolerant" "Early Spring" 
"CAGI10" "" "Carnegiea gigantea" "saguaro" "USA (AZ  CA)" "Perennial" "Tree" "L48 (N)" "" "" "" "" "" "" "" "" 
"CAGI10" "CAGI7" "Carnegia gigantea" "" "" "" "" "" "Spring and Summer" "Orange" "Yes" "9.0" "Moderate" "High" "Intolerant" "Early Spring" 
"CAPA53" "" "Carphephorus paniculatus" "hairy chaffhead" "USA (AL  FL  GA  NC  SC)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Purple" "Yes" "3.0" "Moderate" "Medium" "Tolerant" "Late Summer" 
"CACA18" "" "Carpinus caroliniana" "American hornbeam" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WI  WV)  CAN (ON  QC)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "Orange" "Yes" "30" "Short" "Low" "Tolerant" "Mid Spring" 
"CAOV2" "" "Carya ovata" "shagbark hickory" "USA (AL  AR  CT  DC  DE  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  ND  NE  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WI  WV)  CAN (ON  QC)" "Perennial" "Tree" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "75" "Long" "Medium" "Intermediate" "Late Spring" 
"CATE11" "" "Cassiope tetragona" "white arctic mountain heather" "USA (AK  MT  WA)  CAN (AB  BC  LB  NT  NU  QC  YT)  DEN (GL)" "Perennial" "Subshrub  Shrub" "L48 (N)  AK (N)  CAN (N)  GL (N)" "Summer" "White" "Yes" "0.4" "Long" "Medium" "Intolerant" "Late Spring" 
"CAAN7" "" "Castilleja angustifolia" "northwestern Indian paintbrush" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  SD  UT  WA  WY)" "Perennial" "Subshrub  Forb/herb" "L48 (N)" "Spring and Summer" "Red" "Yes" "2.5" "Moderate" "Medium" "Tolerant" "Mid Spring" 
"CAAP4" "" "Castilleja applegatei" "wavyleaf Indian paintbrush" "USA (CA  ID  NV  OR  UT  WY)" "Perennial" "Subshrub  Forb/herb" "L48 (N)" "Spring and Summer" "Red" "Yes" "1.5" "Moderate" "High" "Intolerant" "Late Spring" 
"CACO17" "" "Castilleja coccinea" "scarlet Indian paintbrush" "USA (AL  AR  CT  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  NH  NJ  NY  OH  OK  PA  RI  SC  TN  VA  WI  WV)  CAN (MB  NS  ON  SK)" "Annual" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Red" "Yes" "1.6" "" "Low" "Tolerant" "Mid Spring" 
"CAHI9" "" "Castilleja hispida" "harsh Indian paintbrush" "USA (CA  ID  MT  NV  OR  WA)  CAN (AB  BC)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Red" "Yes" "1.5" "Short" "High" "Intolerant" "Mid Spring" 
"CASE5" "" "Castilleja sessiliflora" "downy paintedcup" "USA (AZ  CO  IA  IL  KS  MN  MO  MT  ND  NE  NM  OK  SD  TX  WI  WY)  CAN (AB  MB  SK)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "1.3" "Long" "High" "Intolerant" "Mid Spring" 
"CABI8" "" "Catalpa bignonioides" "southern catalpa" "USA (AL  AR  AZ  CA  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MO  MS  NC  ND  NJ  NY  OH  OK  OR  PA  RI  SC  TN  TX  UT  VA  VT  WV)  CAN (ON)" "Perennial" "Tree" "L48 (N)  CAN (I)" "Spring" "White" "Yes" "66" "Long" "Medium" "Intermediate" "Mid Spring" 
"CASP8" "" "Catalpa speciosa" "northern catalpa" "USA (AL  AR  CO  CT  DC  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  ND  NE  NH  NJ  NM  NY  OH  OK  PA  RI  SC  SD  TN  TX  UT  VA  WI  WV)  CAN (ON)" "Perennial" "Tree" "L48 (N)  CAN (I)" "Spring" "White" "Yes" "60" "Long" "Medium" "Intolerant" "Early Summer" 
"CECO" "" "Ceanothus cordulatus" "whitethorn ceanothus" "USA (CA  NV  OR)" "Perennial" "Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "8.0" "Long" "High" "Intolerant" "Early Summer" 
"CECU" "" "Ceanothus cuneatus" "buckbrush" "USA (CA  OR)" "Perennial" "Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "11" "Long" "High" "Intolerant" "Early Summer" 
"CEFR" "" "Ceanothus fresnensis" "Fresno mat" "USA (CA)" "Perennial" "Subshrub  Shrub" "L48 (N)" "Spring and Summer" "Blue" "Yes" "1.0" "Long" "High" "Tolerant" "Late Spring" 
